award_name,award_uri,award_category,nominee,nominee_url,nominee_women,nominee_men,nominee_notable,award_winner
ODI Awards 2016,http://theodi.org/summit/2016,Business,imin,http://www.imin.co,0,6,,no
ODI Awards 2016,http://theodi.org/summit/2016,Business,Open Data Nation,http://www.opendatanation.com,,,Woman-owned,no
ODI Awards 2016,http://theodi.org/summit/2016,Business,cMapIT - https://cmapit.com/,https://cmapit.com/,,,Awards collected by 2 women from the organisation,yes
ODI Awards 2016,http://theodi.org/summit/2016,Publisher,AGRIS,http://agris.fao.org/,,,,no
ODI Awards 2016,http://theodi.org/summit/2016,Publisher,Data Mill North,http://datamillnorth.org/,0,2,Several women open data champions at Leeds City Council,yes
ODI Awards 2016,http://theodi.org/summit/2016,Publisher,OpenDefra,https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs,,,,no
ODI Awards 2016,http://theodi.org/summit/2016,Innovation,Humanitarian Data Exchange,https://data.humdata.org/,,,,yes
ODI Awards 2016,http://theodi.org/summit/2016,Innovation,Organisational Intelligence (a service within Essex County Council),http://www.essex.gov.uk/,,,,no
ODI Awards 2016,http://theodi.org/summit/2016,Innovation,Open papers,https://github.com/300000kms/openPapers,,,,no
ODI Awards 2016,http://theodi.org/summit/2016,Social Impact,GiSforSi - GIS for Social Impact (online faculty teaching about the use of GIS for Social Impact),http://gisforsi.localdata.ng/,,,,no
ODI Awards 2016,http://theodi.org/summit/2016,Social Impact,Global Open Data for Agriculture and Nutrition,http://www.godan.info,,,,no
ODI Awards 2016,http://theodi.org/summit/2016,Social Impact,OpenOil ,http://openoil.net ,1,6,,yes
ODI Awards 2016,http://theodi.org/summit/2016,Individual Champion,Keitha Booth,http://www.linkedin.com/in/keitha-booth-b205122b,1,0,,no
ODI Awards 2016,http://theodi.org/summit/2016,Individual Champion,"Nick Evans, imin",https://uk.linkedin.com/in/nickevansuk,0,1,,no
ODI Awards 2016,http://theodi.org/summit/2016,Individual Champion,Giuseppe Sollazzo,http://www.puntofisso.net/,0,1,,yes
ODI Awards 2016,http://theodi.org/summit/2016,Women in Data,"Rachel Rank, Anna de Pulford, Alice Casey, Katherine Duerden, Fran Perrin",http://www.threesixtygiving.org/,5,0,,yes
ODI Awards 2016,http://theodi.org/summit/2016,Women in Data,Louise Corti,https://www.ukdataservice.ac.uk/,1,0,,no
ODI Awards 2016,http://theodi.org/summit/2016,Women in Data,Serah Njambi,http://medium.com/@CallMeAlien,1,0,,no
